사건번호,패턴유형,하위유형,근거,동시_상관계수,교차_상관계수,시간지연_시간,강수량_비율
1,동시강우,-,피어슨 상관계수 0.721 >= 0.7,0.7207860532000488,0.8699866379772434,1,0.7480916030534351
2,비정형,-,"명확한 패턴 없음 (상관: 0.652, 비율: 0.86)",0.6519362698020142,0.6967728593246789,1,0.864367816091954
3,동시강우,-,피어슨 상관계수 0.702 >= 0.7,0.7024828869022193,0.7024828869022188,0,0.9794520547945206
4,집중강우,금천집중,강수량 비율 4.61 >= 2.0 (금천 집중),0.5137196865450857,0.7259872816349827,-1,4.605042016806722
5,동시강우,-,피어슨 상관계수 0.874 >= 0.7,0.8744763412363037,0.8744763412363046,0,1.2114695340501793
6,동시강우,-,피어슨 상관계수 0.870 >= 0.7,0.8701952376809694,0.8701952376809702,0,1.2158273381294964
7,동시강우,-,피어슨 상관계수 0.898 >= 0.7,0.8978320624135895,0.897832062413591,0,1.7882882882882882
8,비정형,-,"명확한 패턴 없음 (상관: 0.627, 비율: 0.90)",0.62696318136994,0.757805920286619,1,0.896551724137931
9,비정형,-,"명확한 패턴 없음 (상관: 0.635, 비율: 0.63)",0.6350591201022375,0.635059120102238,0,0.6261398176291794
10,비정형,-,"명확한 패턴 없음 (상관: 0.670, 비율: 0.55)",0.6701197987838113,0.6701197987838114,0,0.5466666666666666
11,집중강우,가덕집중,강수량 비율 0.46 <= 0.5 (가덕 집중),0.5093956303030092,0.7259644254186907,-1,0.4552238805970149
12,지연강우,-,"동시 상관 0.213 < 0.7, 교차상관 0.935 >= 0.7, 지연 2시간 >= 2",0.21316628514714822,0.9348303336409549,2,1.0497237569060773
13,동시강우,-,피어슨 상관계수 0.910 >= 0.7,0.9097537511296047,0.9097537511296053,0,0.7783018867924528
14,동시강우,-,피어슨 상관계수 0.880 >= 0.7,0.8803230011780373,0.880323001178037,0,0.9895833333333334
15,동시강우,-,피어슨 상관계수 0.801 >= 0.7,0.8006725502640347,0.800672550264035,0,1.2933333333333332
16,동시강우,-,피어슨 상관계수 0.790 >= 0.7,0.790104852823866,0.7901048528238664,0,1.2933333333333332
17,동시강우,-,피어슨 상관계수 0.824 >= 0.7,0.8242116086313762,0.824211608631376,0,1.4890282131661443
18,동시강우,-,피어슨 상관계수 0.955 >= 0.7,0.955333932891311,0.9553339328913126,0,1.25
19,동시강우,-,피어슨 상관계수 0.936 >= 0.7,0.9360731008428144,0.9360731008428174,0,0.6476190476190476
20,동시강우,-,피어슨 상관계수 0.903 >= 0.7,0.90272787838128,0.9027278783812793,0,0.9082969432314411
21,동시강우,-,피어슨 상관계수 0.957 >= 0.7,0.9570814790272638,0.9570814790272657,0,0.9345238095238095
22,동시강우,-,피어슨 상관계수 0.876 >= 0.7,0.876245654921678,0.9159619182809237,1,1.0202702702702702
23,동시강우,-,피어슨 상관계수 0.741 >= 0.7,0.7412796538881103,0.7412796538881098,0,1.3354037267080745
24,동시강우,-,피어슨 상관계수 0.893 >= 0.7,0.8934569962805723,0.8934569962805721,0,1.5654450261780104
25,동시강우,-,피어슨 상관계수 0.895 >= 0.7,0.8952237579076104,0.8952237579076108,0,1.60989010989011
26,동시강우,-,피어슨 상관계수 0.934 >= 0.7,0.9338616994328314,0.951317565391561,-1,0.8493150684931506
